,ID_NEW,LATEST_MNT_OD_DPD_CAT_NEW,NOT_RF_LATEST_25PT,LATEST_3MNTAVG_DIFF_FIRSTFOLLUP_EMIDT_DD,NOT_BNS_RATIO,NOT_RF,OFFLINE__L12M_MODE_CCR_DAY,LATEST_MNT_BNS,NOT_BNS_PAID_BY_EOM,NOT_BANK_CLR_RATIO,MONTS_SINCE_FIRST_BNS,LATEST_TIME_BNS_MOB,PERF_Y_DEF_RF_FLAG
154,AP3019UT0007430_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,0.7370152323080433,-1.0279546743266548,0.8293279698932596,0.9267388293679296,0
155,AP3019UT0007431_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,-0.6306684523261731,-0.8248356975177262,0
156,AP3019UT0007432_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,1.9296835680695943,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,0.8293279698932596,0.9267388293679296,1
157,AP3019UT0007433_31-AUG-21,4.3710909774607725,3.4775866955977506,-0.8158912920763869,1.072926340326101,1.9296835680695943,-1.3428864901856794,-0.5450695579659514,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,1
158,AP3019UT0007434_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,-0.6306684523261731,-0.8248356975177262,0
159,AP3019UT0007435_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,1.072926340326101,1.9296835680695943,1.1578372137178348,1.2453262666866465,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,0
160,AP3019UT0007438_31-AUG-21,4.3710909774607725,3.4775866955977506,1.1638156917088385,1.072926340326101,1.9296835680695943,1.1578372137178348,-0.5450695579659514,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,1
161,AP3019UT0007440_31-AUG-21,4.3710909774607725,3.4775866955977506,1.1638156917088385,1.072926340326101,1.9296835680695943,1.1578372137178348,1.2453262666866465,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,1
162,AP3019UT0007442_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,1.9296835680695943,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,0.8293279698932596,0.9267388293679296,0
163,AP3019UT0007443_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,1.072926340326101,1.9296835680695943,1.1578372137178348,-0.5450695579659514,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,0
164,AP3019UT0007444_31-AUG-21,-0.9794920879145566,3.4775866955977506,1.1638156917088385,1.072926340326101,1.9296835680695943,-1.3428864901856794,1.2453262666866465,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,0
165,AP3019UT0007445_31-AUG-21,-0.9794920879145566,-1.0414579188799682,1.1638156917088385,1.072926340326101,1.9296835680695943,1.1578372137178348,1.2453262666866465,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,0
166,AP3019UT0007446_31-AUG-21,-0.9794920879145566,-1.0414579188799682,1.1638156917088385,1.072926340326101,1.9296835680695943,1.1578372137178348,-0.5450695579659514,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,0
167,AP3019UT0007447_31-AUG-21,-0.9794920879145566,-1.0414579188799682,1.1638156917088385,1.072926340326101,1.9296835680695943,1.1578372137178348,1.2453262666866465,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,0
168,AP3019UT0007449_31-AUG-21,4.3710909774607725,3.4775866955977506,-0.8158912920763869,1.072926340326101,1.9296835680695943,1.1578372137178348,-0.5450695579659514,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,1
169,AP3019UT0007450_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,0.8293279698932596,0.9267388293679296,0
170,AP3019UT0007451_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,1.072926340326101,1.9296835680695943,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,0.9156311994749112,0.8293279698932596,0.9267388293679296,0
171,AP3019UT0007452_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,1.072926340326101,1.9296835680695943,-1.3428864901856794,-0.5450695579659514,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,0
172,AP3019UT0007454_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,-0.6306684523261731,-0.8248356975177262,0
173,AP3019UT0007457_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,-0.6306684523261731,-0.8248356975177262,0
174,AP3019UT0007458_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,-0.6306684523261731,-0.8248356975177262,0
175,AP3019UT0007459_31-AUG-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,-0.6306684523261731,-0.8248356975177262,0
176,AP3019UT0007460_31-AUG-21,4.3710909774607725,3.4775866955977506,-0.8158912920763869,-1.352554573949082,1.9296835680695943,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,0.8293279698932596,0.9267388293679296,1
