,ID_NEW,LATEST_MNT_OD_DPD_CAT_NEW,NOT_RF_LATEST_25PT,LATEST_3MNTAVG_DIFF_FIRSTFOLLUP_EMIDT_DD,NOT_BNS_RATIO,NOT_RF,OFFLINE__L12M_MODE_CCR_DAY,LATEST_MNT_BNS,NOT_BNS_PAID_BY_EOM,NOT_BANK_CLR_RATIO,MONTS_SINCE_FIRST_BNS,LATEST_TIME_BNS_MOB,PERF_Y_DEF_RF_FLAG
263,KA3110UT0003712_31-JUL-22,-1.644117001448734,-1.644117001448734,-1.644117001448734,-1.352554573949082,-1.644117001448734,-1.3428864901856794,-1.644117001448734,-1.644117001448734,0.9156311994749112,-1.644117001448734,-1.644117001448734,0
264,KA3009UT0017693_31-AUG-21,-0.9794920879145566,-1.0414579188799682,1.1638156917088385,1.072926340326101,1.9296835680695943,1.1578372137178348,1.2453262666866465,0.7370152323080433,0.9156311994749112,-0.6306684523261731,0.9267388293679296,0
265,TN3008UT0008163_31-JAN-22,-0.9794920879145566,-1.0414579188799682,1.1638156917088385,1.072926340326101,1.9296835680695943,1.1578372137178348,1.2453262666866465,0.7370152323080433,0.9156311994749112,0.8293279698932596,0.9267388293679296,0
266,TN3000UT0017060_31-JAN-22,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,-0.6306684523261731,-0.8248356975177262,0
267,TN3008UT0012615_31-JUL-22,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,-0.6306684523261731,-0.8248356975177262,0
268,WB3054UT0009809_31-MAR-22,-0.9794920879145566,-1.0414579188799682,1.1638156917088385,1.072926340326101,-1.3678319053270775,1.1578372137178348,1.2453262666866465,0.7370152323080433,0.9156311994749112,-0.6306684523261731,-0.8248356975177262,0
269,TN3007UT0013146_31-DEC-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,1.072926340326101,-1.3678319053270775,-1.3428864901856794,1.2453262666866465,0.7370152323080433,-1.0279546743266548,0.8293279698932596,0.9267388293679296,0
270,RJ3037UT0001416_31-JUL-22,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,-0.6306684523261731,-0.8248356975177262,0
271,TN3000UT0012307_31-DEC-21,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,1.072926340326101,1.9296835680695943,1.1578372137178348,-0.5450695579659514,-0.3424703416781703,0.9156311994749112,0.8293279698932596,0.9267388293679296,0
272,PB3046UT0003155_31-JAN-22,-0.9794920879145566,-1.0414579188799682,-0.8158912920763869,-1.352554573949082,-1.3678319053270775,-1.3428864901856794,-0.5450695579659514,-0.3424703416781703,-1.0279546743266548,-0.6306684523261731,-0.8248356975177262,0
